time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolshred.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolsports.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolstylist.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolswitch.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aoltruveo.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aoluk.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolvideo.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwbautoblog.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwbcinema.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwbdnlsq.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwbengadget.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwbgadling.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwbluxist.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwbpspfboy.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwbtvsq.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwbwowinsd.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwpmq.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolwpnscom.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aolyedda.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry askads.ask.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry aslads.ask.com, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry atlanticmedia.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry awarenesstech.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry belointeractive.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry bertelwissenprod.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry bet.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry bigpond.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry bmwmoter.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry bonniercorp.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
time="2016-03-31T19:20:54-07:00" level=error msg="Found excluded entry brighthouse.122.2o7.net, in ../testdata/hosts.winhelp2002.blacklist.conf\n" 
